league,id,minute,result,X,Y,understat_xg,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction,status,distanceToGoal,angleToGoal,xgboost_xg,logrec_xg,gradboost_xg,ensemble_xg,isGoal,isGoalBool
EPL,14511,12,SavedShot,0.728000030517578,0.500999984741211,0.018741013482213,Wayne Rooney,h,629,OpenPlay,2014,RightFoot,4749,Manchester United,Swansea,1,2,2014-08-16 12:45:00,Darren Fletcher,Pass,0.0,28.5600777454592,14.6053671038552,0.034643557,0.0240732328626189,0.0354273147466419,0.0313082869359234,Not Goal,False
EPL,14512,16,BlockedShot,0.789000015258789,0.335999984741211,0.0155976330861449,Wayne Rooney,h,629,OpenPlay,2014,RightFoot,4749,Manchester United,Swansea,1,2,2014-08-16 12:45:00,Chicharito,TakeOn,0.0,24.8034489769125,15.0815670769346,0.042048756,0.0470101787874609,0.0364004536585287,0.0418717003212774,Not Goal,False
EPL,14513,25,SavedShot,0.914000015258789,0.187999992370605,0.0649231597781181,Juan Mata,h,554,DirectFreekick,2014,LeftFoot,4749,Manchester United,Swansea,1,2,2014-08-16 12:45:00,,Standard,0.0,23.0577437985253,7.26828582060448,0.051212978,0.0686482466142403,0.0400104286723441,0.0534441295265232,Not Goal,False
EPL,14514,26,SavedShot,0.92,0.482000007629395,0.0577875375747681,Wayne Rooney,h,629,OpenPlay,2014,Head,4749,Manchester United,Swansea,1,2,2014-08-16 12:45:00,Ashley Young,Aerial,0.0,8.48870866092014,46.3471022789719,0.09375445,0.093466837577002,0.0956513960846581,0.0942826554091638,Not Goal,False
EPL,14516,33,MissedShots,0.921999969482422,0.59,0.0488010048866272,Wayne Rooney,h,629,FromCorner,2014,Head,4749,Manchester United,Swansea,1,2,2014-08-16 12:45:00,Juan Mata,Cross,0.0,10.2240184119158,33.3379069222305,0.053284906,0.0595232114810305,0.0502410299303709,0.0544014520524701,Not Goal,False
EPL,14517,40,BlockedShot,0.774000015258789,0.465999984741211,0.0309710539877415,Darren Fletcher,h,809,OpenPlay,2014,RightFoot,4749,Manchester United,Swansea,1,2,2014-08-16 12:45:00,Juan Mata,Pass,0.0,23.8423608889458,17.3772058793346,0.048719913,0.0424922937086936,0.0523816842756851,0.047810908151776,Not Goal,False
EPL,14518,45,MissedShots,0.911999969482422,0.218999996185303,0.0255961809307337,Adnan Januzaj,h,323,OpenPlay,2014,LeftFoot,4749,Manchester United,Swansea,1,2,2014-08-16 12:45:00,Wayne Rooney,TakeOn,0.0,21.2248282237932,8.79622600746797,0.027080055,0.0513762496009889,0.02384467396734,0.0342730854939592,Not Goal,False
EPL,14520,52,BlockedShot,0.961999969482422,0.44,0.0694785714149475,Phil Jones,h,951,FromCorner,2014,Head,4749,Manchester United,Swansea,1,2,2014-08-16 12:45:00,Juan Mata,Aerial,0.0,5.70670882126371,56.7196992970159,0.11149567,0.1068552947467986,0.0819815716002046,0.1001782935327978,Not Goal,False
EPL,14521,52,Goal,0.949000015258789,0.535999984741211,0.576578736305237,Wayne Rooney,h,629,FromCorner,2014,RightFoot,4749,Manchester United,Swansea,1,2,2014-08-16 12:45:00,,Rebound,1.0,5.88801382137086,61.5112789337931,0.36897007,0.4329108085047452,0.3478528219737554,0.3837412360715415,Goal,True
EPL,14522,61,MissedShots,0.861999969482422,0.307000007629395,0.0525288321077824,Adnan Januzaj,h,323,OpenPlay,2014,LeftFoot,4749,Manchester United,Swansea,1,2,2014-08-16 12:45:00,Phil Jones,TakeOn,0.0,19.5499246864155,16.0450639799183,0.058806915,0.0771640610190757,0.0490423764407375,0.061826048246222,Not Goal,False
